title,text
"[모젠서비스]
모젠 서비스에 오류가 있을 때에는 어떻게 하나요?","모젠고객센터(080-600-6000)로 문의 주시거나
1:1상담 문의에 올려주시면 신속하게 지원해 드리겠습니다."
"[블루링크]
[A/S] 블루링크 서비스 이용 시 오류가 발생합니다.","블루링크 고객센터 또는 홈페이지 1:1문의에 문의해 주시면 신속하게 지원해 드리겠습니다.

블루링크 고객센터 080-600-6000
서비스 가입/해지/변경 등 (안전 보안 서비스 24시간 제공)
평일 08:30 ~ 18:00 (주말/공휴일 휴무)"
"[블루링크]
[A/S] 원격 공조 제어 서비스를 사용했는데 계속 비상등이 켜져 깜박입니다.","원격 공조 제어 서비스 이용시 비상등이 함께 켜지는 것은 정상적인 현상입니다.
스마트키로 차량의 문을 여닫으실 때 비상등이 깜빡이는 것과 동일합니다.
또한 도로 안전상의 이유로 시동이 켜져 있다는 것을 외부에서도 확인할 수 있도록 시동과 비상등이 함께 작동됩니다."
"[블루링크]
[A/S] GPS 수신이 안됩니다.","시동을 켠 후 수 분 동안 GPS가 인식되는 시간이 필요합니다.
혹은 GPS위성에서 발송하는 전파의 특성상 고가 밑, 지하차도, 도심 건물 밀집지역 등 GPS 수신 안테나가 가려지는 경우 수신 불량 상태가 발생 할 수 있습니다.
이 경우 장애물이 없는 위치로 차량을 이동하시면 GPS 수신 기능이 정상적으로 작동하게 됩니다.
만약 개방된 지역에서도 위성수신 상태가 불량하면 A/S를 통해 GPS 수신 장치의 정비를 받으시기 바랍니다."
"[블루링크]
[A/S] 주행 중에 시스템 조작이 안됩니다.","고객님의 안전한 운행을 위해 주행 중에는 단말기 조작을 제한하고 있으며, 기어가 P단일 경우만 조작이 가능합니다.
시스템 조작을 통해 서비스를 이용하시려면 차량을 잠시 정차해 주세요.
단, 조작이 간단한 일부 서비스는 주행 중에도 사용이 가능합니다."
"[블루링크]
[요금제] 블루링크 유료 요금제가 어떻게 되나요?","블루링크 자세한 요금제 안내는 아래 페이지를 참고해주세요.

블루링크 요금제 안내 ▶바로가기"
"[블루링크]
[요금제] 요금 미납을 했을 경우 가산금은 몇%인가요?",요금 미납 시 가산금은 당월 청구금액의 2%입니다.
"[블루링크]
[요금제] 요금제 납부 방식을 변경하고 싶습니다.","블루링크 요금제 납부 방법 조회 및 변경은 아래 모바일 페이지 또는 블루링크 고객센터에서 가능합니다.
※ 법인/리스/렌트 차량은 블루링크 고객센터에서 처리 가능

요금제 납부 방법 조회 및 변경 모바일 페이지 ▶바로가기

- 블루링크 고객센터 080-600-6000
- 서비스 가입/해지/변경 등 (안전 보안 서비스 24시간 제공)
- 평일 08:30 ~ 18:00 (주말/공휴일 휴무)"
"[블루링크]
[요금제] 사용 중인 블루링크 요금제가 궁금합니다.","블루링크 자세한 차종별 요금제 안내는 아래 페이지를 참고해주세요.

블루링크 차종별 요금제 안내 ▶바로가기

블루링크 요금제 안내 ▶바로가기"
"[블루링크]
[가입] 블루링크는 어떻게 가입하나요?","블루링크는 블루링크 앱 또는 내비게이션(내비게이션 가입은 출고 후 1년 이내 최초 개통 시)으로 가입하실 수 있습니다.
자세한 가입 안내는 아래 페이지를 참고해주세요.

블루링크 서비스 가입 안내 ▶바로가기"
