title,text
"[홈페이지]
실 운행자 등록 방법은 어떻게 되나요?","내 차로 등록한 차량에 한하여 실 운행자 지정이 가능합니다.
승상용 통합 회원으로 가입한 고객의 통합 이메일 ID 및 이름으로 검색 후 지정이 가능합니다."
"[블루멤버스]
[바디케어 서비스] 서비스 가입 후 사고가 발생하지 않아 보장을 받지 않은 경우라면, 포인트는 다시 환불받을 수 있을까요?","바디케어 서비스는 보험성 서비스로, 실질적으로 보상을 받은 경험이 없더라도 포인트는 환불되지 않습니다."
"[블루멤버스]
[바디케어 서비스] 적립 예정 포인트가 부족한 경우 어떻게 하나요?",영업점가입 - 기존 보유하신 포인트가 있으시면 합산 신청 가능 (합산해도 포인트 부족시엔 별도 결재 불가) 온라인가입 - 포인트외에 현금/카드로 추가결재 가능합니다.
"[블루멤버스]
[바디케어 서비스] 해약 하고 싶습니다. 어떻게 해야 하나요?","※ 영업점가입 - 담당 영업사원에게 신청 (출고일 포함 30일 이내)
※ 온라인 가입 - 가입한 온라인 몰에서 직접 취소처리 (결재일 포함 30일 이내)"
"[블루멤버스]
[바디케어 서비스] 가입은 어떻게 하나요?","자동차 제작증 발급전
- 출고하신 영업점으로 신청 (단, 캐스퍼 차종은 '캐스퍼 온라인' ▶바로가기 에서 가입 가능합니다.)

제작증 발급 이후
- 현대차종은 '현대 Shop'▶바로가기 에서 가입 가능합니다.

- 제네시스 차종은 '제네시스 부티크' ▶바로가기 에서 가입 가능합니다."
"[블루멤버스]
포인트의 유효기간은 어떻게 되나요?","지급된 블루멤버스 포인트는 60개월(5년) 간 사용 가능합니다. 유효기간 경과 시, 포인트는 월 단위로 익월 1일 소멸됩니다."
"[블루멤버스]
블루멤버스 포인트 양도 절차가 어떻게 되나요?","직계존비속 및 배우자에게만 양도 가능합니다. 양도/양수인 모두가 블루멤버스 회원가입이 되어있어야 하며
가족관계증명서와 양도양수 신청서를 myHyundai 앱 또는 FAX로 접수해주시면 양도처리 가능합니다.
※ 장애인 공동명의건의 경우 양도양수 신청서, 등록원부, 복지카드 사본을 팩스로 발송
※ 가족관계증명서 上, 주민등록번호 뒷 6자리는 반드시 가려서 전송"
"[블루멤버스]
블루멤버스 포인트 적립 시점은 언제인가요?","회원 가입 및 제작증 발급 익일에 적립되며, 포인트 적립일 기준 3영업일 이후 가용화됩니다. (단, 출고 後 6개월 이상 경과 時 회원가입은 가능하나, 포인트 적립 불가) 고객님께서는 가용화 이후 조회 및 사용이 가능하며, 가용화 된 포인트는 현대자동차 사이트, 고객센터에서 확인 가능합니다."
"[블루멤버스]
회원 가입 절차 없이 포인트를 받을 수는 없나요?","블루멤버스 포인트 적립은 블루멤버스 회원에 한하여 주어지므로 가입이 필수입니다. 포인트 지급/이용에 대한 규정을 멤버십 회원가입 약관을 통해 동의받게 되며, 이후 본인 확인이 된 회원정보를 기반으로 멤버십 제휴사 및 각종 특화 서비스에 필요한 정보를 인증하게 됩니다.."
"[블루멤버스]
블루멤버스 회원 가입 후 카드 발급은 언제 되나요?","신차 구매시 매매주문서에서 블루멤버스 카드 발급신청 가능합니다. 제작증 발급 익일에 가입완료되어 실물카드 일주일~열흘 소요됩니다. 단, 카드 번호 채번은 다음 날 바로 가능하며 마이현대 앱에서 확인 가능합니다. 블루멤버스 제휴 신용카드 신청시 비신용카드 미발급되며, 신용카드 미발급 고객이 비신용카드 필요시 고객센터 080-600-6000으로 신청 가능합니다."
