지역,휘발유,경유,LPG,전기,년월
서울,1636281,1107835,257262,23441,2021.01
부산,687671,563485,117090,5409,2021.01
대구,583066,471418,111501,12557,2021.01
인천,801524,665320,129072,5428,2021.01
광주,304871,273300,88215,3210,2021.01
대전,335392,256178,68540,4463,2021.01
울산,289212,226441,37244,2269,2021.01
세종,87817,65523,12586,1157,2021.01
경기,2925814,2445420,409745,20670,2021.01
강원,348523,375402,59735,4076,2021.01
충북,384909,382807,69868,3897,2021.01
충남,502617,524176,87237,5562,2021.01
전북,388528,438416,93881,3360,2021.01
전남,422999,539946,107075,5251,2021.01
경북,633073,673676,126801,7066,2021.01
경남,848756,749949,139127,6369,2021.01
제주,266489,250793,60386,21206,2021.01
서울,1635844,1106027,256291,23381,2021.02
부산,688865,563586,116781,5512,2021.02
대구,583213,471309,110992,12846,2021.02
인천,801997,662581,128233,5517,2021.02
광주,305021,273278,88139,3200,2021.02
대전,335273,256137,68398,4462,2021.02
울산,289522,226361,37115,2284,2021.02
세종,88391,65729,12594,1186,2021.02
경기,2934994,2447277,409339,21100,2021.02
강원,349544,376564,59638,4086,2021.02
충북,385979,383278,69904,4338,2021.02
충남,503919,525045,87298,5575,2021.02
전북,389234,439109,93673,3363,2021.02
전남,425682,542652,107238,5415,2021.02
경북,634342,674787,126758,7149,2021.02
경남,851654,751512,139091,6552,2021.02
제주,268636,251321,60334,21297,2021.02
서울,1636698,1103183,255058,24918,2021.03
부산,690422,562084,116376,6600,2021.03
대구,583939,471070,110544,13041,2021.03
인천,803729,658880,127379,6106,2021.03
광주,305186,273410,88010,3504,2021.03
대전,335202,255924,68154,4885,2021.03
울산,290159,226234,36920,2527,2021.03
세종,88784,65983,12645,1295,2021.03
경기,2945760,2439830,409062,23887,2021.03
강원,350892,376497,59645,4280,2021.03
충북,387364,383320,70024,4688,2021.03
충남,505749,525786,87539,5946,2021.03
전북,390032,440084,93553,3596,2021.03
전남,429008,543767,107664,5773,2021.03
경북,636546,676687,126868,7588,2021.03
경남,854987,750220,139472,7220,2021.03
제주,271139,252296,60333,21832,2021.03
서울,1638511,1099842,253828,25581,2021.04
부산,692660,560689,116075,6821,2021.04
대구,582639,468461,110210,13142,2021.04
인천,804535,654347,125390,6312,2021.04
광주,305812,271486,88102,3593,2021.04
대전,335976,255933,68042,4995,2021.04
울산,291070,224926,36808,2599,2021.04
세종,89212,65712,12643,1317,2021.04
경기,2956698,2439355,408892,24841,2021.04
강원,352604,373170,59585,4460,2021.04
충북,390715,381382,70120,4781,2021.04
충남,508313,521829,87856,6269,2021.04
전북,391165,436431,93674,4054,2021.04
전남,434453,543866,109610,6001,2021.04
경북,638820,672526,126982,7773,2021.04
경남,858815,746369,139792,7474,2021.04
제주,274310,251429,60489,21978,2021.04
서울,1639303,1098086,252577,27013,2021.05
부산,694993,560143,115719,7515,2021.05
대구,583149,463600,109936,13472,2021.05
인천,806083,651257,124495,6708,2021.05
광주,306514,269440,88404,3813,2021.05
대전,336777,251824,68015,5222,2021.05
울산,291696,223320,36790,2734,2021.05
세종,89560,65568,12691,1353,2021.05
경기,2965667,2439786,408016,26944,2021.05
강원,353833,372121,59551,4750,2021.05
충북,392313,379962,70372,4952,2021.05
충남,510077,519149,87998,6588,2021.05
전북,391849,434200,93692,4432,2021.05
전남,437045,543779,109670,6222,2021.05
경북,641278,668326,127032,8118,2021.05
경남,860986,744904,139717,7867,2021.05
제주,277285,250973,60656,22148,2021.05
서울,1640427,1096347,251488,28752,2021.06
부산,697273,558938,115501,8503,2021.06
대구,584514,461616,109768,13974,2021.06
인천,807930,648988,123370,7790,2021.06
광주,307405,268161,88572,4081,2021.06
대전,337428,249867,68059,5836,2021.06
울산,292457,222138,36777,2897,2021.06
세종,89917,65513,12721,1404,2021.06
경기,2976000,2441338,407469,30030,2021.06
강원,355156,371905,59434,5200,2021.06
충북,393776,379606,70427,5480,2021.06
충남,511837,518008,88223,7254,2021.06
전북,392717,433376,93749,5104,2021.06
전남,440422,544225,110176,6643,2021.06
경북,642932,666202,127265,8676,2021.06
경남,863239,744787,139580,8685,2021.06
제주,280347,251178,60670,22838,2021.06
서울,1645752,1097562,250361,29325,2021.07
부산,699775,558095,115077,8824,2021.07
대구,580381,457595,109429,14226,2021.07
인천,808855,645538,122120,8446,2021.07
광주,308142,267508,88675,4242,2021.07
대전,338115,249960,68019,6143,2021.07
울산,293015,221699,36776,2943,2021.07
세종,90412,65519,12751,1437,2021.07
경기,2986203,2443772,406843,31820,2021.07
강원,356487,371833,59327,5485,2021.07
충북,396423,382103,70478,5934,2021.07
충남,513511,517946,88411,8042,2021.07
전북,393531,433455,93769,5466,2021.07
전남,443094,544463,110559,6956,2021.07
경북,644513,665949,127455,9171,2021.07
경남,867034,745091,139691,9244,2021.07
제주,283157,252350,60618,23262,2021.07
서울,1645085,1095411,248869,31220,2021.08
부산,701117,557765,114599,9525,2021.08
대구,580501,457314,109022,14632,2021.08
인천,809312,643669,120435,9370,2021.08
광주,308536,267325,88680,4478,2021.08
대전,338262,249821,67957,6652,2021.08
